Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,12,11,10,9,8,7,6,5,Unnamed: 13,Unnamed: 14,Unnamed: 15,4,3,2,1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,,Classe de Custo,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Total Exer,,,
,,,,,,,,,,,,,,,    70017312  PIS s/Prov.Fatur,0,0,0,1064.93,0,1064.93,,,
,,,,,,,,,,,,,,,    70017313  COFINS s/ProvFat,0,0,0,4905.15,0,4905.15,,,
*   Faturamento Líquido,-343799.59,-424032.5,-369264.4,-323979.12,-363439.91,-383669.4,-401448.3,-411566.85,-432430.76,-421511.54,-442477.06,-415766.82,-4733386.25,,*   Faturamento Líquido,-474853.83,-508733.89,-479975.67,-402399.6,-57734.97,-1923697.96,,,
    60119001  Gêneros alimentí,185.49,8.99,4309.26,43.78,47.12,0,0,0,23.98,0,32.36,287.48,4938.46,,    60119001  Gêneros alimentí,0,273.49,43.15,1203.19,258.07,1777.9,,,
    60119058  Créd.PISCOF ICMS,0,0,0,0,-163.11,-208.94,-271.31,0,361.52,171.4,-1848.39,-288.18,-2247.01,,    60119058  Créd.PISCOF ICMS,-373.31,-387.25,-240.86,-245.69,0,-1247.11,,,
    60119057  Eventos Clientes,0,0,822.3,458.56,245.42,0,0,0,0,0,574.55,77.53,2178.36,,    60119057  Eventos Clientes,0,9.18,0,0,0,9.18,,,
    60119002  Outros Débitos I,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,0.02,-0.01,-0.04,-0.01,0.01,0,-0.13,,    60119003  Outros Créditos,-472.77,-571.79,-306.45,-332.74,0,-1683.75,,,
    60119003  Outros Créditos,-311.22,-213.66,-440.21,-298.33,-253.76,-325.76,-387.98,-168.58,-298.78,-554.96,-291.76,-394.1,-3939.1,,    60269008  Descartáveis,0,28.65,35.6,223.46,295.95,583.66,,,
    60269008  Descartáveis,0,0,0,0,5,0,0,0,9.56,0,0,0,14.56,,    60119008  EstCred ICMS Pis,559.19,394.72,401.93,306.31,0,1662.15,,,
    60119008  EstCred ICMS Pis,156.54,283.73,252.68,246.52,315.94,198.78,327.69,385.33,369.5,394.48,340.94,316.7,3588.83,,    60229009  Materiais de lim,840.05,9611.01,6367.47,8235.26,0,25053.79,,,
    60229009  Materiais de lim,7055,4936.33,5244.03,0,6024.55,5107.43,4847.89,3311.35,7912.96,5949.98,6147.78,6260.23,62797.53,,    60249011  EPIs,676.46,393.01,750.64,1256.93,69.49,3146.53,Média Mês,779.5774999999999,
    60249011  EPIs,0,0,0,70.89,1721.8,0,267,912.56,0,1004.95,0,649.78,4626.98,,    60269012  Outros materiais,0,0,607.48,-607.48,0,0,,,
    60119014  Devol - Av. Déb.,0,0,0,-806.44,0,0,0,0,0,-2527.19,-57.22,-22.92,-3413.77,,    60119014  Devol - Av. Déb.,-153.9,0,-358.93,0,0,-512.83,,,
    60119016  Arroz,7563.57,9091.54,7076.4,8888.32,6880.52,6104.17,6320.01,5844.28,6112.9,5417.53,6394.83,4835.48,80529.55,,    60119016  Arroz,5244.66,6602.53,5503.31,4350.83,4489.51,26190.84,,,
    60119017  Carnes,92459.71,106842.05,86458.12,103379.26,89765.77,100496.49,116881.42,134288.26,109848.5,134951.51,150464.85,114551.95,1340387.89,,    60119017  Carnes,124242.71,168700.43,147033.7,107277.2,159661.58,706915.62,,,
    60119018  Feijão,4839.58,5508.63,5510.91,5257.22,4567.25,4212.16,3980.97,4462.62,4410.18,4972.35,7466.81,5076.28,60264.96,,    60119018  Feijão,4305.62,7313.11,5626.18,4716.42,5718.8,27680.13,,,
    60119019  Legumes Folh.,19457.13,22611.64,18281.4,17868.32,18442.46,19280.61,20818.32,21666.45,22335.01,22146.03,19877.3,19318.53,242103.2,,    60119019  Legumes Folh.,21161.21,20613.76,22775.36,15100.67,16174.36,95825.36,,,
    60119020  Outros Gêneros,11356.56,14263.18,9407.76,-26771.29,44552.9,8953.22,8769.56,8638.22,9023.93,9130.53,15471.84,10677.48,123473.89,,    60119020  Outros Gêneros,14132.74,21338.51,8345.8,11791.47,11945.51,67554.03,,,
    60119021  Pães,315.39,120.86,0,151.62,317.85,367.07,0,2571.7,0,1348.6,18094.1,14820.67,38107.86,,    60119021  Pães,23321.29,17737.33,17037.64,6722.07,17065.03,81883.36,,,
    60119022  Recheios,8705.36,12186.84,5772.27,8187.63,6418.27,9198.52,7122.23,9446.49,7572.66,7864.34,9552.25,5986.33,98013.19,,    60119022  Recheios,6643.14,9138.33,7578.51,6875.15,5455.56,35690.69,,,
    60119023  Sobremesas,4276.24,8118.64,4216.29,6327.4,5658.44,4814.9,6088.02,6708.22,5182.61,4637.94,5685.95,2800.95,64515.6,,    60119023  Sobremesas,5849.64,5444.94,4072.86,3865.04,4794.57,24027.05,,,
